Data,Open,High,Low,Close,Volume,Market Cap
09/11/2017,"0,020081","0,022117","0,018879","0,020733",6.774,122.010
08/11/2017,"0,026029","0,029604","0,019675","0,020214",2.777,158.132
07/11/2017,"0,020076","0,026163","0,017579","0,026163",1.678,121.949
06/11/2017,"0,026616","0,027372","0,019771","0,021352",197,161.639
05/11/2017,"0,027495","0,040387","0,024702","0,035757",5.719,166.967
04/11/2017,"0,017106","0,041827","0,016713","0,027483",44.751,103.858
03/11/2017,"0,023904","0,040219","0,018003","0,035115",1.477,145.121
02/11/2017,"0,017494","0,125827","0,015146","0,049226",4.599,106.178
01/11/2017,"0,011818","0,020137","0,011079","0,017475",1.157,71.712
31/10/2017,"0,013336","0,022517","0,008171","0,011826",1.801,80.876
30/10/2017,"0,016237","0,023529","0,013274","0,013382",1.113,98.450
29/10/2017,"0,022208","0,022476","0,012991","0,016332",1.337,134.648
28/10/2017,"0,023040","0,023468","0,022004","0,022239",70,139.671
27/10/2017,"0,025168","0,025636","0,022641","0,022977",12,152.551
26/10/2017,"0,022660","0,027741","0,022527","0,025162",72,137.337
25/10/2017,"0,021208","0,037651","0,021127","0,022663",787,128.515
24/10/2017,"0,021082","0,022627","0,017726","0,021153",191,127.729
23/10/2017,"0,029273","0,029703","0,020869","0,021129",233,177.197
22/10/2017,"0,021186","0,043577","0,019242","0,029314",3.035,128.178
21/10/2017,"0,024478","0,032593","0,022127","0,022189",2.103,148.062
20/10/2017,"0,018971","0,026947","0,016190","0,026369",883,114.669
19/10/2017,"0,023834","0,025537","0,018708","0,018966",63,144.054
18/10/2017,"0,017117","0,023936","0,016787","0,023822",295,103.417
17/10/2017,"0,019193","0,025041","0,016810","0,017116",595,115.864
16/10/2017,"0,018581","0,020564","0,017532","0,019190",396,112.033
15/10/2017,"0,024119","0,027058","0,017147","0,018579",1.025,145.213
14/10/2017,"0,030269","0,030642","0,022953","0,024075",359,182.118
13/10/2017,"0,033122","0,036357","0,028690","0,030260",529,199.179
12/10/2017,"0,027638","0,033020","0,027281","0,033020",1.566,166.045
11/10/2017,"0,030783","0,032510","0,027084","0,027615",345,184.714
10/10/2017,"0,027877","0,034925","0,026959","0,030788",1.367,167.059
09/10/2017,"0,034433","0,034565","0,025148","0,027879",2.756,206.036
08/10/2017,"0,036072","0,036348","0,029585","0,034424",2.394,215.528
07/10/2017,"0,035455","0,039206","0,028351","0,036169",5.526,193.723
06/10/2017,"0,029787","0,035547","0,022369","0,035444",4.340,162.752
05/10/2017,"0,037026","0,040931","0,028685","0,029787",5.234,202.304
04/10/2017,"0,039323","0,041481","0,031970","0,036993",2.399,215.567
03/10/2017,"0,034610","0,044677","0,033041","0,039232",7.415,189.730
02/10/2017,"0,038233","0,042010","0,031169","0,034603",8.095,209.578
01/10/2017,"0,038525","0,046443","0,036716","0,038250",10.072,211.177
30/09/2017,"0,033260","0,048291","0,032914","0,038504",13.674,180.642
29/09/2017,"0,042984","0,051292","0,027251","0,033256",12.224,233.456
28/09/2017,"0,035432","0,094041","0,031761","0,042926",90.680,192.355
27/09/2017,"0,017946","0,054868","0,014135","0,035401",28.094,97.286
26/09/2017,"0,009269","0,020021","0,009128","0,017996",1.706,49.884
25/09/2017,"0,003126","0,009408","0,003078","0,009268",1.412,16.826
24/09/2017,"0,012526","0,012615","0,003130","0,003130",527,67.413
23/09/2017,"0,015609","0,017540","0,006262","0,012527",279,84.003
